businessID,registrationYear,businessAddress,businessType,yearsOfOperation,certificateOfPotability,pestControl,sanitaryPermit,sanitaryOrder01,sanitaryOrder02,resolutionStatus,pastRenewalBehavior,willRenew,isDelayed
60,2023,Oranbo,Pharmacy,3,1,1,1,0,0,Unpaid,Sometimes,Yes,1
61,2023,Ugong,Auto Repair,3,1,1,1,0,0,Paid,Always,Yes,0
62,2023,Kapitolyo,Fast Food,3,1,0,1,0,0,Paid,Always,No,0
63,2025,Manggahan,Grocery,0,1,1,1,0,0,Paid,Always,Yes,0
64,2023,Santolan,Pharmacy,2,1,1,1,0,0,Paid,Always,Yes,0
65,2023,Maybunga,Restaurant,3,1,0,1,0,0,Unpaid,Always,Yes,1
66,2024,Sta. Lucia,Laundry,2,1,1,1,0,0,Paid,Always,Yes,0
67,2022,Dela Paz,Salon,3,1,0,0,0,0,Unpaid,Always,No,0
68,2025,San Miguel,Restaurant,1,0,1,1,0,0,Paid,Always,Yes,0
69,2021,Pinagbuhatan,Mini-Mart,4,0,1,1,0,0,Unpaid,Always,Yes,0
70,2025,Dela Paz,Hardware,1,1,1,1,0,0,Paid,Sometimes,Yes,0
71,2025,Santolan,Water Refilling,1,1,1,1,0,0,Paid,Sometimes,Yes,0
72,2022,Oranbo,Water Refilling,4,1,1,1,0,0,Paid,Sometimes,Yes,0
73,2021,Santolan,Fast Food,5,1,1,1,0,0,Paid,Always,No,1
74,2025,Ugong,Grocery,0,1,1,1,0,0,Paid,Sometimes,No,0
75,2025,Sta. Lucia,Internet Café,0,1,1,1,0,0,Paid,Sometimes,Yes,1
76,2025,Malinao,Printing Shop,0,1,0,1,1,0,Paid,Always,No,1
77,2025,San Miguel,Printing Shop,0,1,1,1,0,1,Paid,Never,No,0
78,2021,Kapitolyo,Hardware,5,1,0,1,0,0,Paid,Sometimes,Yes,0
79,2023,Kapitolyo,Water Refilling,2,1,1,1,0,0,Paid,Sometimes,Yes,1
80,2022,Sta. Lucia,Fast Food,3,1,1,1,0,0,Paid,Never,Yes,0
81,2025,San Miguel,Auto Repair,0,1,1,1,0,0,Paid,Sometimes,Yes,1
82,2024,Dela Paz,Printing Shop,2,1,0,1,0,0,Paid,Sometimes,Yes,0
83,2023,Ugong,Laundry,3,1,1,1,0,0,Paid,Sometimes,Yes,0
84,2021,Bagong Ilog,Grocery,5,1,1,1,0,0,Paid,Always,Yes,0
85,2023,Oranbo,Salon,3,1,0,1,0,0,Paid,Always,Yes,0
86,2023,Ugong,Printing Shop,3,1,1,1,0,0,Paid,Always,Yes,0
87,2025,Maybunga,Restaurant,0,1,0,1,0,0,Paid,Sometimes,Yes,0
88,2024,Pineda,Restaurant,1,1,0,1,0,0,Paid,Always,No,0
89,2025,Dela Paz,Water Refilling,0,0,0,1,0,0,Paid,Always,Yes,0
90,2024,Maybunga,Grocery,1,1,1,1,0,1,Paid,Sometimes,No,0
91,2022,Ugong,Water Refilling,4,1,1,1,0,0,Paid,Always,Yes,0
92,2025,Manggahan,Restaurant,0,1,1,1,0,0,Paid,Always,Yes,0
93,2025,Bagong Ilog,Fast Food,1,0,1,1,0,0,Paid,Sometimes,No,0
94,2024,Manggahan,Mini-Mart,2,1,1,1,0,0,Paid,Always,No,0
95,2025,Maybunga,Pharmacy,0,1,1,1,1,0,Paid,Always,Yes,0
96,2024,San Miguel,Hardware,1,1,0,1,0,0,Paid,Always,No,0
97,2024,Maybunga,Grocery,1,1,1,1,0,0,Paid,Sometimes,Yes,0
98,2023,Rosario,Auto Repair,2,1,0,1,0,0,Paid,Always,Yes,0
99,2021,Malinao,Water Refilling,4,1,1,0,0,0,Paid,Always,Yes,0
100,2022,Dela Paz,Printing Shop,4,1,1,1,0,0,Paid,Always,Yes,0
101,2021,Sta. Lucia,Water Refilling,4,1,1,1,0,1,Paid,Never,Yes,0
102,2024,Pinagbuhatan,Internet Café,2,1,0,1,0,0,Paid,Always,Yes,0
103,2023,Rosario,Laundry,3,1,1,1,0,0,Unpaid,Never,Yes,0
104,2024,Ugong,Printing Shop,1,1,1,1,0,0,Paid,Always,Yes,0
105,2025,Santolan,Fast Food,1,1,1,0,0,0,Unpaid,Never,Yes,0
106,2022,Manggahan,Salon,4,1,1,1,0,0,Paid,Always,Yes,0
107,2023,Pineda,Water Refilling,3,1,1,0,0,0,Paid,Always,Yes,0
108,2025,Rosario,Auto Repair,1,1,0,1,0,0,Paid,Never,Yes,0
109,2022,Oranbo,Salon,4,0,1,1,0,1,Paid,Always,Yes,0
110,2021,Bagong Ilog,Laundry,4,1,1,1,0,0,Paid,Sometimes,Yes,0
111,2023,Manggahan,Internet Café,2,1,1,1,0,1,Paid,Always,No,1
112,2022,Rosario,Water Refilling,3,1,1,1,0,0,Paid,Always,No,0
113,2025,San Miguel,Salon,1,0,0,1,0,0,Paid,Always,No,0
114,2025,Kapitolyo,Salon,1,1,1,1,0,0,Unpaid,Always,Yes,0
115,2024,Dela Paz,Mini-Mart,1,1,0,1,1,0,Unpaid,Always,Yes,0
116,2025,Dela Paz,Salon,1,1,0,1,0,0,Paid,Always,Yes,0
117,2025,Pinagbuhatan,Restaurant,1,1,0,1,0,0,Paid,Always,Yes,0
118,2022,Maybunga,Laundry,4,0,1,0,0,0,Unpaid,Always,Yes,0
119,2025,Dela Paz,Auto Repair,1,0,0,1,0,0,Paid,Always,Yes,1
120,2024,Maybunga,Internet Café,2,1,1,1,0,0,Paid,Always,Yes,0
121,2025,Rosario,Laundry,0,1,1,1,0,0,Paid,Always,Yes,0
122,2025,Ugong,Pharmacy,0,1,1,1,0,0,Paid,Always,Yes,0
123,2023,Bagong Ilog,Fast Food,3,1,1,1,0,0,Paid,Always,Yes,0
124,2022,Ugong,Restaurant,3,1,0,1,0,0,Paid,Always,Yes,0
125,2022,Dela Paz,Internet Café,3,0,1,1,0,1,Paid,Always,No,0
126,2023,Manggahan,Fast Food,3,1,0,1,0,0,Paid,Always,Yes,0
127,2025,Malinao,Pharmacy,0,1,1,0,0,0,Paid,Never,Yes,0
128,2025,Pinagbuhatan,Salon,0,1,0,0,0,0,Paid,Sometimes,Yes,0
129,2021,Pinagbuhatan,Laundry,5,0,1,1,0,0,Paid,Sometimes,Yes,0
130,2024,Sta. Lucia,Printing Shop,1,1,0,1,1,0,Paid,Always,No,1
131,2023,Maybunga,Auto Repair,3,1,0,0,1,0,Paid,Always,No,0
132,2022,Pinagbuhatan,Internet Café,3,1,1,1,1,0,Unpaid,Sometimes,Yes,0
133,2022,Ugong,Hardware,3,1,1,0,1,0,Paid,Always,Yes,0
134,2023,Bagong Ilog,Fast Food,2,1,1,1,0,0,Paid,Sometimes,Yes,0
135,2025,Bagong Ilog,Pharmacy,0,0,1,1,0,0,Paid,Always,Yes,0
136,2023,Maybunga,Fast Food,3,1,1,1,0,0,Paid,Always,Yes,0
137,2024,Rosario,Mini-Mart,2,1,0,1,0,0,Paid,Always,Yes,0
138,2025,Kapitolyo,Restaurant,0,1,1,0,0,0,Unpaid,Sometimes,Yes,0
139,2023,Bagong Ilog,Restaurant,3,1,1,1,0,0,Paid,Always,Yes,0
140,2025,Ugong,Printing Shop,1,1,1,1,1,1,Paid,Always,Yes,0
141,2025,Santolan,Mini-Mart,0,1,1,1,0,0,Paid,Never,No,0
142,2023,Rosario,Restaurant,2,0,1,1,0,0,Paid,Sometimes,Yes,0
143,2024,Malinao,Grocery,2,1,1,1,0,0,Unpaid,Always,Yes,1
144,2023,Pineda,Grocery,3,1,1,1,0,0,Paid,Always,No,0
145,2023,Oranbo,Internet Café,3,1,1,1,0,0,Unpaid,Sometimes,No,0
146,2021,San Miguel,Hardware,5,1,1,1,0,0,Paid,Always,Yes,0
147,2024,Sta. Lucia,Auto Repair,1,1,1,1,0,0,Unpaid,Always,Yes,0
148,2024,Pinagbuhatan,Salon,2,1,0,1,0,0,Paid,Always,Yes,0
149,2021,Sta. Lucia,Grocery,5,1,1,1,0,0,Unpaid,Always,Yes,0
150,2023,Pinagbuhatan,Pharmacy,3,1,0,1,0,0,Unpaid,Sometimes,No,0
151,2025,Sta. Lucia,Mini-Mart,0,0,1,1,1,0,Paid,Sometimes,Yes,0
152,2022,Santolan,Laundry,4,0,1,1,0,1,Unpaid,Sometimes,No,1
153,2022,Rosario,Hardware,4,1,1,1,0,0,Unpaid,Always,Yes,0
154,2024,Maybunga,Auto Repair,1,1,1,1,0,0,Paid,Always,Yes,1
155,2025,Ugong,Printing Shop,0,1,1,1,0,0,Paid,Never,Yes,1
156,2022,Sta. Lucia,Pharmacy,4,0,0,1,0,0,Paid,Sometimes,No,0
157,2024,Santolan,Hardware,1,1,0,1,1,0,Paid,Sometimes,No,0
158,2025,San Miguel,Mini-Mart,1,1,0,1,0,0,Paid,Sometimes,No,0
159,2022,Bagong Ilog,Pharmacy,4,1,1,1,0,0,Paid,Always,Yes,0
160,2025,Maybunga,Mini-Mart,0,1,1,1,0,0,Paid,Always,Yes,0
161,2023,Oranbo,Printing Shop,2,1,1,1,0,0,Unpaid,Always,No,0
162,2024,Oranbo,Auto Repair,1,1,1,1,0,0,Paid,Sometimes,Yes,0
163,2024,Pineda,Restaurant,2,1,1,1,0,0,Paid,Always,Yes,0
164,2024,Kapitolyo,Salon,1,1,1,1,0,0,Paid,Always,Yes,0
165,2021,Sta. Lucia,Salon,5,1,0,1,0,0,Paid,Sometimes,Yes,0
166,2025,Maybunga,Water Refilling,0,1,1,1,0,0,Paid,Always,No,1
167,2023,Santolan,Printing Shop,3,1,0,1,0,0,Paid,Always,No,0
168,2022,Malinao,Printing Shop,4,1,0,1,0,0,Paid,Sometimes,Yes,0
169,2021,Santolan,Grocery,4,1,1,1,0,0,Unpaid,Always,Yes,1
170,2024,Santolan,Internet Café,1,0,0,1,0,0,Paid,Always,Yes,0
171,2024,Santolan,Laundry,2,1,1,1,1,0,Paid,Always,Yes,1
172,2021,Maybunga,Mini-Mart,4,1,1,1,0,0,Paid,Always,Yes,0
173,2024,Santolan,Water Refilling,1,1,1,1,0,0,Paid,Always,No,0
174,2022,Rosario,Fast Food,3,1,1,1,0,0,Paid,Never,Yes,0
175,2024,Maybunga,Water Refilling,1,1,1,1,0,1,Unpaid,Always,Yes,1
176,2022,Bagong Ilog,Printing Shop,3,0,1,1,0,0,Paid,Sometimes,Yes,0
177,2024,Rosario,Fast Food,1,1,0,1,0,0,Paid,Always,Yes,0
178,2023,San Miguel,Water Refilling,2,1,0,1,0,0,Unpaid,Never,No,0
179,2025,Dela Paz,Mini-Mart,1,1,1,1,1,0,Paid,Always,No,0
180,2022,Bagong Ilog,Printing Shop,3,1,1,1,0,0,Paid,Always,Yes,0
181,2023,Pineda,Auto Repair,3,0,1,1,0,0,Paid,Sometimes,Yes,0
182,2022,Sta. Lucia,Mini-Mart,3,1,1,1,0,0,Unpaid,Always,Yes,1
183,2025,Pinagbuhatan,Salon,1,1,1,0,0,0,Paid,Sometimes,Yes,0
184,2025,Maybunga,Mini-Mart,1,1,1,1,0,0,Unpaid,Always,No,0
185,2023,Pinagbuhatan,Auto Repair,2,1,1,1,0,0,Paid,Sometimes,No,0
186,2024,Maybunga,Hardware,1,1,1,1,0,0,Paid,Sometimes,Yes,0
187,2025,Bagong Ilog,Salon,0,1,1,0,1,0,Paid,Always,Yes,1
188,2024,Pineda,Restaurant,1,1,1,1,0,0,Paid,Sometimes,No,0
189,2024,Ugong,Pharmacy,2,1,1,1,1,0,Paid,Never,Yes,0
190,2022,Ugong,Restaurant,4,1,1,1,0,0,Paid,Sometimes,Yes,0
191,2021,Rosario,Internet Café,4,1,1,1,0,0,Paid,Always,Yes,0
192,2025,Santolan,Printing Shop,1,1,1,1,0,0,Paid,Never,No,0
193,2025,Sta. Lucia,Restaurant,0,1,1,1,0,0,Paid,Always,Yes,0
194,2024,Santolan,Fast Food,2,1,1,1,0,0,Paid,Always,Yes,0
195,2023,Dela Paz,Salon,2,1,1,1,0,0,Paid,Always,No,0
196,2023,Ugong,Restaurant,3,1,1,1,0,0,Paid,Always,No,0
197,2025,Sta. Lucia,Grocery,0,0,1,1,0,0,Paid,Sometimes,Yes,0
198,2025,Bagong Ilog,Fast Food,1,0,1,1,1,0,Paid,Always,Yes,0
199,2025,Kapitolyo,Restaurant,0,1,1,0,0,0,Paid,Always,Yes,0
200,2025,Pineda,Laundry,0,1,1,1,0,1,Unpaid,Always,Yes,0
201,2024,Sta. Lucia,Internet Café,2,1,1,1,0,0,Unpaid,Always,Yes,1
202,2021,Rosario,Pharmacy,5,0,1,1,0,0,Paid,Always,Yes,0
203,2022,Bagong Ilog,Auto Repair,4,1,1,1,1,0,Paid,Always,Yes,0
204,2025,Santolan,Laundry,1,1,0,1,1,0,Paid,Always,No,1
205,2024,Rosario,Laundry,2,1,1,1,0,0,Paid,Always,No,0
206,2021,Pinagbuhatan,Laundry,4,1,1,1,1,0,Paid,Sometimes,Yes,0
207,2022,Kapitolyo,Auto Repair,4,1,1,1,0,0,Paid,Always,No,0
208,2024,Manggahan,Grocery,2,0,1,1,0,0,Paid,Sometimes,Yes,0
209,2021,San Miguel,Grocery,5,1,1,0,0,0,Paid,Always,No,0
210,2022,Oranbo,Printing Shop,4,1,0,1,0,0,Paid,Always,Yes,0
211,2024,Kapitolyo,Auto Repair,1,1,1,1,0,0,Paid,Always,Yes,0
212,2024,Rosario,Hardware,1,1,1,1,0,0,Paid,Always,Yes,0
213,2024,Santolan,Fast Food,1,1,1,1,0,0,Paid,Always,Yes,0
214,2022,Bagong Ilog,Printing Shop,3,1,1,1,1,0,Paid,Sometimes,Yes,0
215,2025,Pinagbuhatan,Mini-Mart,1,1,1,1,0,0,Paid,Sometimes,No,0
216,2022,San Miguel,Mini-Mart,3,1,1,1,0,0,Paid,Sometimes,Yes,0
217,2023,Kapitolyo,Grocery,2,1,1,1,0,0,Paid,Always,No,0
218,2025,Dela Paz,Salon,1,1,1,1,0,1,Paid,Sometimes,Yes,0
219,2024,Sta. Lucia,Auto Repair,2,1,1,1,0,0,Paid,Always,Yes,0
220,2025,San Miguel,Grocery,1,1,1,1,0,0,Paid,Sometimes,Yes,0
221,2024,Rosario,Salon,2,1,1,1,0,0,Paid,Always,Yes,0
222,2024,Sta. Lucia,Mini-Mart,2,1,1,1,0,0,Paid,Sometimes,Yes,0
223,2021,San Miguel,Restaurant,5,1,1,1,0,0,Unpaid,Always,Yes,0
224,2023,Pinagbuhatan,Grocery,2,1,1,1,0,0,Paid,Always,Yes,0
225,2023,Pineda,Internet Café,2,1,1,1,0,0,Unpaid,Always,No,0
226,2022,Oranbo,Restaurant,4,1,1,1,0,0,Paid,Sometimes,Yes,0
227,2025,Bagong Ilog,Printing Shop,0,1,0,1,0,0,Paid,Always,Yes,0
228,2023,Rosario,Restaurant,3,1,1,1,0,0,Unpaid,Always,Yes,0
229,2025,San Miguel,Grocery,1,0,1,0,0,0,Paid,Always,No,0
230,2024,Pineda,Salon,1,1,0,1,1,0,Unpaid,Sometimes,No,0
231,2025,Bagong Ilog,Internet Café,0,1,0,1,0,0,Paid,Always,Yes,0
232,2024,Maybunga,Salon,1,1,1,1,0,0,Paid,Always,Yes,0
233,2024,Pineda,Laundry,1,1,1,1,0,0,Unpaid,Sometimes,No,0
234,2024,Maybunga,Salon,1,1,1,1,0,0,Paid,Always,Yes,0
235,2022,Oranbo,Salon,4,1,1,1,0,0,Paid,Sometimes,No,0
236,2025,Maybunga,Hardware,0,1,0,1,0,0,Paid,Always,No,0
237,2023,Pineda,Water Refilling,2,1,0,1,0,0,Paid,Always,Yes,1
238,2021,Sta. Lucia,Printing Shop,5,1,1,0,0,0,Paid,Sometimes,Yes,1
239,2024,San Miguel,Pharmacy,1,1,1,1,0,0,Paid,Always,Yes,0
240,2022,Maybunga,Water Refilling,3,1,1,1,0,0,Paid,Always,Yes,0
241,2025,Sta. Lucia,Internet Café,0,1,1,1,0,0,Paid,Sometimes,Yes,0
242,2025,San Miguel,Internet Café,0,1,1,1,0,0,Paid,Always,Yes,0
243,2025,San Miguel,Auto Repair,0,1,1,1,1,0,Paid,Sometimes,Yes,0
244,2023,Bagong Ilog,Salon,3,1,1,1,0,0,Paid,Always,Yes,0
245,2021,Malinao,Restaurant,4,1,1,1,0,0,Paid,Always,Yes,0
246,2025,Dela Paz,Water Refilling,0,1,0,1,0,0,Paid,Sometimes,Yes,0
247,2023,Pinagbuhatan,Auto Repair,3,1,1,1,1,0,Paid,Always,Yes,0
248,2025,San Miguel,Laundry,0,1,1,1,0,0,Paid,Never,No,0
249,2025,Bagong Ilog,Pharmacy,1,1,1,1,0,0,Paid,Sometimes,Yes,0
250,2025,Manggahan,Salon,1,0,1,1,0,0,Paid,Always,Yes,0
251,2023,Oranbo,Auto Repair,3,1,1,0,0,0,Unpaid,Always,No,1
252,2023,Dela Paz,Water Refilling,2,1,1,1,1,0,Paid,Always,Yes,0
253,2025,Dela Paz,Laundry,0,0,0,1,1,0,Paid,Sometimes,Yes,0
254,2023,Maybunga,Hardware,2,1,1,1,1,0,Paid,Sometimes,Yes,0
255,2022,Sta. Lucia,Mini-Mart,3,1,1,1,0,0,Paid,Always,Yes,0
256,2024,Oranbo,Pharmacy,2,0,1,1,1,0,Paid,Always,Yes,1
257,2025,Rosario,Internet Café,1,1,0,1,0,0,Paid,Always,Yes,0
258,2024,Kapitolyo,Hardware,2,1,1,1,0,0,Paid,Always,Yes,0
259,2024,San Miguel,Fast Food,1,1,1,1,0,1,Paid,Never,Yes,1
260,2021,Pineda,Fast Food,5,1,1,1,0,0,Paid,Always,Yes,0
261,2024,Maybunga,Printing Shop,1,1,1,1,0,0,Paid,Always,Yes,0
262,2025,Maybunga,Salon,1,1,1,1,0,0,Unpaid,Always,Yes,1
263,2022,Manggahan,Mini-Mart,4,0,1,1,0,0,Paid,Always,No,0
264,2024,Rosario,Mini-Mart,2,1,1,1,0,0,Paid,Sometimes,Yes,0
265,2025,Bagong Ilog,Pharmacy,0,1,1,1,0,0,Paid,Always,Yes,0
266,2025,Manggahan,Restaurant,1,1,1,1,0,0,Paid,Sometimes,No,0
267,2024,Pinagbuhatan,Hardware,2,1,0,1,0,0,Paid,Always,Yes,0
268,2025,Maybunga,Restaurant,0,1,0,1,0,0,Paid,Always,Yes,0
269,2023,San Miguel,Grocery,3,1,1,1,0,0,Paid,Always,Yes,0
270,2023,San Miguel,Hardware,3,1,0,0,0,0,Paid,Always,Yes,0
271,2025,Oranbo,Laundry,0,1,1,1,0,0,Unpaid,Sometimes,Yes,0
272,2025,Manggahan,Salon,0,1,1,1,0,0,Paid,Sometimes,Yes,0
273,2025,Oranbo,Hardware,0,1,1,1,1,0,Paid,Always,Yes,1
274,2025,Pinagbuhatan,Hardware,0,1,0,1,0,0,Unpaid,Never,Yes,0
275,2024,Ugong,Grocery,2,1,1,1,0,0,Paid,Sometimes,Yes,0
276,2024,Santolan,Pharmacy,2,1,1,0,0,0,Paid,Sometimes,Yes,0
277,2025,Pineda,Printing Shop,0,1,0,0,0,0,Unpaid,Sometimes,Yes,0
278,2024,Pineda,Pharmacy,2,1,1,1,1,0,Unpaid,Sometimes,Yes,1
279,2025,Ugong,Laundry,1,0,1,1,1,0,Paid,Never,No,0
280,2025,Maybunga,Pharmacy,0,1,1,1,0,1,Unpaid,Sometimes,Yes,0
281,2025,Dela Paz,Mini-Mart,1,1,1,1,0,0,Paid,Always,Yes,0
282,2023,Bagong Ilog,Water Refilling,3,1,1,1,1,0,Unpaid,Sometimes,Yes,1
283,2023,Rosario,Grocery,3,1,1,1,0,0,Paid,Always,Yes,0
284,2021,Oranbo,Water Refilling,4,1,1,1,0,0,Paid,Always,Yes,0
285,2024,Ugong,Water Refilling,2,1,1,0,0,0,Paid,Sometimes,Yes,0
286,2021,Pinagbuhatan,Grocery,5,1,1,1,1,0,Paid,Always,Yes,0
287,2024,Kapitolyo,Water Refilling,2,1,1,1,0,0,Paid,Always,Yes,0
288,2024,San Miguel,Water Refilling,1,1,1,1,0,0,Unpaid,Always,No,0
289,2023,Santolan,Water Refilling,2,0,1,1,0,0,Paid,Always,Yes,0
290,2024,Maybunga,Printing Shop,2,1,1,1,0,0,Paid,Always,Yes,0
291,2021,Santolan,Laundry,5,1,1,1,0,0,Paid,Always,No,0
292,2021,Rosario,Internet Café,4,1,0,1,0,0,Paid,Always,Yes,0
293,2025,San Miguel,Printing Shop,0,1,0,1,0,1,Unpaid,Sometimes,Yes,0
294,2023,Pinagbuhatan,Laundry,2,1,1,1,0,0,Paid,Sometimes,Yes,0
295,2022,Pineda,Fast Food,3,1,0,1,0,0,Paid,Always,Yes,0
296,2024,Rosario,Restaurant,2,1,1,1,0,0,Unpaid,Never,Yes,0
297,2025,Ugong,Printing Shop,0,1,1,1,1,0,Paid,Always,No,0
298,2022,Pineda,Hardware,3,1,1,1,0,0,Paid,Always,Yes,0
299,2024,Pineda,Pharmacy,1,1,1,1,0,0,Paid,Always,Yes,0
300,2021,Dela Paz,Grocery,4,1,1,1,0,0,Paid,Always,No,0
301,2021,Pinagbuhatan,Mini-Mart,5,1,1,1,0,0,Unpaid,Never,Yes,0
302,2024,Sta. Lucia,Water Refilling,2,1,1,1,0,0,Paid,Sometimes,Yes,0
303,2024,Ugong,Auto Repair,2,1,1,1,0,0,Paid,Always,Yes,0
304,2024,Manggahan,Grocery,2,1,1,1,0,0,Paid,Sometimes,Yes,1
305,2025,Rosario,Salon,0,1,1,1,0,1,Paid,Sometimes,Yes,0
306,2025,Bagong Ilog,Grocery,1,0,1,1,0,0,Paid,Sometimes,No,0
307,2024,Malinao,Printing Shop,2,1,1,1,0,0,Paid,Always,No,0
308,2023,Kapitolyo,Printing Shop,2,1,0,0,0,0,Paid,Sometimes,Yes,1
309,2025,San Miguel,Hardware,1,1,1,0,0,0,Paid,Sometimes,Yes,0
310,2023,Pinagbuhatan,Mini-Mart,3,1,1,1,0,0,Paid,Sometimes,No,0
311,2023,San Miguel,Grocery,3,0,1,1,0,0,Paid,Always,No,0
312,2021,Rosario,Mini-Mart,4,1,0,1,0,0,Paid,Sometimes,Yes,0
313,2021,Ugong,Grocery,4,1,1,1,0,0,Paid,Sometimes,Yes,0
314,2025,Bagong Ilog,Laundry,0,1,1,1,1,0,Paid,Never,Yes,1
315,2025,Malinao,Printing Shop,1,0,1,1,0,0,Paid,Always,Yes,0
316,2024,Oranbo,Laundry,1,1,1,1,1,0,Paid,Always,Yes,0
